instruction,reference,generated,cosine_similarity
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi Vila, Thanks for trusting Chat Doctor with your query. Your problem seems to be a very rare kind of addiction.  Based on the information provided, it seems you are motivated to give up this addiction as you appear to understand the fact that it is hurting your body physically. It seems that you are struggling psychologically as well. I guess first and foremost, you should get yourself checked physically as raw rice can cause some physical issues and some problems of menstruation could be due to other unrelated/related issues. An opinion from physician or gynecologist might be helpful. Next comes the issue of addiction. I suppose one method could be to use Exposure and response prevention strategy. The basic principle would be to expose you to raw rice which will possibly induce the desire to eat it and then have someone stop you from eating it. During this process, you might experience significant restlessness and anxiety. If you are motivated enough and know relaxation techniques, try to be in this situation for approximately 90 minutes or when you feel your anxiety is wearing off without any additional help. You will realize that gradually the intensity of your craving is reducing and after sometimes start doing it yourself. You can take the help of a clinical psychologist in this process. The role of medication would be very limited. However, I believe consulting a psychiatrist to explore other psychological issues (if any) can be of further benefit. Hope this will be of some help. Best wishes, ","
Hi and welcome to Chat Doctor. I have reviewed your symptoms and as per your history it seems that you might be having allergic reaction due to some food or medication. In this situation, you need to consult an allergist for further evaluation. He may advise you to do skin prick test or blood tests like RAST to rule out any allergies. You will require treatment with antihistamines, corticosteroids and antibiotics if required.  Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health",0.7664309740066528
孕且查出丙肝孩子可以要吗，什么症状都没就是13号抽的血他们15号才做的今天才换到单子，上面HCV是阳性，我不知晓这样孩子可以要吗？,小孩传染丙肝的几率大概是4%，一般需要有打免疫球蛋白。一般来说没事儿的，不过一旦传染就是100%。丙肝没有办法实施母婴截断，但是母婴散播的几率很小，所以你不要担心，孩子出升后不要实施母乳喂养。此外，丙肝患者在治疗期间，患者的饮食状况和护理也是很关键的，患者一定要消化维生素，预防工作闹肚子，并且清淡饮食，以免引发不必要的伤害。,"
丙型肝炎是一种由丙型肝炎病毒感染引起的病毒性肝炎。丙肝主要通过血液、性接触和母婴三种方式传播。丙肝的潜伏期平均为2-4周，最长可达6个月。丙型肝炎的临床表现轻重不一，多数无明显症状，少数可出现急性肝炎症状，如乏力、食欲减退、厌油、恶心、呕吐、腹痛等，部分病例有黄疸；慢性丙型肝炎多无症状，仅在体检时发现。目前尚无特效治疗方法。对于母亲感染了丙型肝炎的",0.826703667640686
腹部多器官联合移植的手术治疗有些什么？,腹部多器官联合移植,"
多器官联合移植；原位肝移植术；肝脏移植术；腹腔镜下胰腺切除术；胰十二指肠切除术；腹腔镜下胰十二指肠切除术；胰十二指肠切除术；腹腔镜下胰头切除术；胰腺移植术；胰十二指肠切除；胰头切除术；胰腺移植；胰腺切除术；胰十二指肠切除；胰腺全切术；胰十二指肠切除术(Whipple)；胰腺肿瘤根治术；胰十二指肠切除手术；胰十二指肠切除术式；",0.5822086930274963
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for writing to us. Unexplained bruising once in while is understandable but if occurs frequently should be investigated thoroughly since it can indicate an underlying medical condition or ailment. Many times taking medications like aspirin, ibuprofen, non-steroidal anti-inflammatory Chat Doctor.  Topical and systemic corticosteroids cause skin thinning, making one prone to bruises. So let me know have you take any ","
Hi, dairy have gone through your question. I can understand your concern. You may have enlarged lymph node due to infection or cancer.  It can also be due to lymphoma.  You should go for fine needle aspiration cytology or biopsy of that lump. It will give you exact diagnosis. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.",0.6608447432518005
小儿雅司病的并发症,合并骨膜炎，多指性关节炎，皮损后可留下色素脱失性萎缩性瘢痕或皮肤挛缩、皲裂，晚期病例可发生长骨骨膜或骨质树胶肿性损害，引起骨质疏松，甚至形成腔隙，偶致腭穿孔或鼻骨、咽部损害，也可引起关节周围纤维瘤样结节和关节积液。可引起毁形性鼻咽炎、鼻骨炎、多发性指(趾)骨炎、手指关节炎、胫骨骨膜炎(佩刀胫)鶒。,"
1.继发性癫痫。2.精神障碍。3.关节炎。4.慢性肝炎。5.慢性心内膜炎。6.肾功能衰竭。7.继发性糖尿病。8.继发性肺结核。9.继发性鼻窦炎。10.继发性鼻咽癌。11.继发性胃肠道肿瘤。12.继发性恶性肿瘤。13.继发性神经系统疾病。14.继发性免疫系统疾病。15.继发性血液系统疾病。16.继发性内分泌",0.4781935214996338
"If you are a doctor, please answer the medical questions based on the patient's description.","Welcome to Chat Doctor .1. I would think in terms of lymph nodal enlargement after BCG, or any recent infection, fever or systemic causes.2. To clear the doubt regarding cyst or lymph node - get an ultrasound axillary region - it will give exact nature of lesion, its source and extensions.3. But personally I feel like lymph nodal enlargement - you need to monitor and a followup visit with the treating doctor.4. Follow the advice given by your doctor, he is right. Good luck. Hope it helps you. Wish you a good health. Anything to ask ? Do not hesitate. Thank you.","
Hi, Thank you for posting your query. I have gone through your question in detail and understand your concerns. In my opinion, the most likely cause of your symptoms is due to an infection by H. Pylori bacteria. This causes chronic inflammation of stomach lining, leading to symptoms like nausea, bloating, heartburn, etc. I would suggest you to undergo upper GI endoscopy, which will help us to confirm this diagnosis. Treatment with antibiotics and acid suppressants will be required. Please get back if you require any additional information. Wishing you good health, Chat Doctor. Ly/ ",0.6542850732803345
右输尿馆结石伴右肾积水，右输尿馆结石伴右肾积水坐了手术治疗，两个月后拔出双j馆后两天查出右肾积水，右输尿馆上段扩张。2013，5，14日坐秘尿造影查出右肾积水，输尿馆无结石,治疗肾结石的方式方法有很多，如药物排石、溶石治疗。一般小于6mm的结石，理论上可以通过输尿管随尿液排出体外.选择大量饮水（2000ml以上）并保证尿液每日2000ml以上、适当运动、口服药物排石或溶石、体位排石治疗。,"
你好，你的情况考虑为泌尿系感染引起的可能，可以做血常规及泌尿系统B超检查帮助诊断，确定后可以采用左氧氟沙星或头孢菌素类药物进行治疗的，多喝开水有利于症状的好转，不吃辛辣刺激性的食物很重要。",0.7426172494888306
"If you are a doctor, please answer the medical questions based on the patient's description.",Welcome to Chat Doctor .stabbing chest pain and numbness tingling in fingers point towards cervical spondylosis .please get cervical spine X-ray ...take neurotics as methylcobalamin .a good option is tab neurons plus .as it is prescription Chat Doctor. .maintain proper posture of neck .no more flexion please ...as you get problem when in stress so please as a precaution get BP checked and ECG done ...regards ,"
Hi, Welcome to Chat Doctor.  As per your query you have symptoms of severe cough and breathing difficulty for which you require evaluation with X-ray chest, ECG, Blood tests and other investigations if required.  In my opinion you should to consult your doctor once again for proper examination. You may need to start antibiotics, antihistamines, inhaled bronchodilators, corticosteroids etc.  I would suggest you to avoid smoking as it can worsen your condition. Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor.  V. Subrahmanyam",0.8115760087966919
孩童中耳炎流黄水怎样医治，女宝宝3岁，刚上幼儿园，这一周，孩子说自己耳朵又痒又疼，察觉到，偶尔还会有黄色的液体流出，另外，好像没什么食欲也很乏力，请问：孩童中耳炎流黄水怎样医治。,在治疗上的话一般建议遵医嘱给孩子吃点消炎的药物，也可局部用药，比如给宝宝采取使用消炎类型的滴耳剂，也可以根据孩子的情况给点镇痛药，尤其是耳朵痛剧烈的时候，可帮助缓解痛苦，孩子要是伴随着发烧的情况，家长可以给孩子服用一些有退烧作用的药物严重的话则应尽早就医，出现多次急性严重，或是已出现耳膜穿孔的，要及时的进行手术治疗，最后，希望家长能够重视这一疾病，尽早带孩子就医治疗，平时也要注意做好相关的预防和保健工作。,"
如果孩子得了中耳炎的话，首先可以用点抗生素或是消炎类药物，也可以配合一些局部治疗的方法，比如消炎型的滴耳液医治，要是伴随发高烧的情况，那么根据孩子的症状使用药物，严重的情况请尽快去医院进行救治，存在耳膜穿孔的情况家长可考虑可给孩子用点滴鼻净的方法，看是否能够帮助减轻症状，期间注意让孩子充分休息，并且多吃一些蔬菜水果。ncy",0.892985999584198
阴道上部发红有白色的分泌物是怎么回事，我去年结的婚，最近总是肚子小腹疼痛，尤其是来事那几天，很害怕影响生育，而且十分的怕冷，怕寒。请问阴道上部发红有白色的分泌物是怎么回事,属于感染引起的，可以服用中成药龙胆泻肝丸，三金片调理，高锰酸钾稀释液外洗，注意个人卫生，每天用清水清洗外阴，避免不良刺激。，考虑外阴炎或者阴道炎引起的症状。需要积极抗炎治疗。先化验白带常规看看。如果细菌性阴道炎服用妇科千金片和头孢菌素抗生素，另外局部使用洁尔阴清洗治疗。保妇康栓阴道用药。,"
考虑是阴道炎引起的症状，建议口服甲硝唑片和头孢克肟胶囊治疗，局部用高锰酸钾稀释液坐浴效果较好。，妇科疾病的出现不仅仅会影响女性的生活，还会导致妇科疾病的出现，因此，最好去医院的妇科做一下B超检查，找出病因后对症治疗，平时注意饮食的调理，清淡容易消化的食物，不可以吃辛辣刺激生冷的食物。",0.9639143943786621
脑膜刺激症状的诊断是什么？,脑脊液培养+药敏试验 --脑脊液培养+药敏试验是脑脊液感染时的一种检查。脑脊液葡萄糖(CSF-Glu) --脑脊液的一种检查方法。脑脊液细胞分类计数 --脑脊液的显微镜常规检查，一般以细胞计数和白细胞分类为主。脑脊液不含红细胞，无白细胞或含极少量的白细胞。有中枢神经系统疾病时，脑脊液中的细胞数增多，白细胞升高的种类发生变化。因此做脑脊液显微镜检查可以反映疾病的不同性质。脑脊液病原体检查(CSF) --对有脑膜刺激症状、疑为神经系统感染性疾病的病人做脑脊液病原学检查具有重要意义。抗乙型脑炎病毒抗体(EPBV-AB) --急性乙型脑炎患者在发病后第七天，可产生特异性抗乙型脑炎病毒抗体IgM (EPBV-IgM)，2～3周达高峰，故检测EPBV-IgM，有助于对急性乙型脑炎的早期诊断。检查时静脉血2ml，不抗凝，分离血清或脑脊液2ml进行测定。颅脑超声检查 --1、 B型超声颅脑检查法：主要用于2岁以内囟门未闭的小儿，通过囟门作为“声窗”进行扫查。2、经颅彩色多普勒显象：经颞窗、枕窗、眶窗探查，可探及大脑动脉，根据颅内血管的流速、频宽、流向异常或音频异常等确定，应用于脑血管疾病的诊断及病因分类。尿维生素B6(VitB6) --维生素B6为人体内某些辅酶的组成成分，参与多种代谢反应，尤其是和氨基酸代谢有密切关系。维生素B6长期缺乏会导致皮肤、中枢神经系统和造血机构的损害。动物缺乏维生素B6的症状为皮炎、痉挛、贫血等。单纯的维生素B6缺乏症在人类极少见。临床上应用维生素B6制剂防治妊娠呕吐和放射病呕吐。脑脊液蛋白电泳 --脑脊液蛋白电泳主要用于多发性硬化症，神经梅毒及亚急性硬化性全脑炎等的诊断。,"
1、根据病史，神经系统检查，脑脊液改变及颅内压增高表现，可作出初步诊断。2、腰穿后出现高热、头痛、呕吐、颈强直、脑膜刺激征者，应考虑本病可能。3、实验室检查：(1)脑脊液：压力增高，外观呈毛玻璃状，蛋白增高，细胞数正常或轻度增多，糖和氯化物正常。(脑脊液涂片找细菌阴性，培养阴性。(血培养阳性率低。(脑脊液中白细胞总数多在50～100",0.7728629112243652
小孩睡觉时抽搐是癫痫吗？癫痫什么症状，感谢医生为我快速解答——该怎么样治疗和预防,"1、大复发：约占癫痫复发的50％，多在1岁左右或14—17岁之间。大复发可分四个时期：(1)先兆期：有头晕、胃部不适。(2)强直期：突然意识丧失、倒地、头后仰、肢体强直，由于隔肌痉挛，病人发出“羊羔”样吼叫，面色青紫、瞳孔散大、呼吸暂停，持续数十秒不等。(3)阵挛期：全身肌肉有节律性抽动、常咬破舌头、口吐白沫、可伴有大小便失禁，一般持续1-3分钟。(4)恢复期：一般要数十分钟才能清醒，病人对复发过程不能回忆，全身疼痛、乏力。个别病人在恢复期有狂燥、乱跑乱叫、打人毁物等情况发生。2、小复发：痴痫小复发又称失神复发，典型的表现为病人有短暂意识丧失，大多数意识完全丧失，偶尔意识障碍较浅，对周围有所了解，能听见问话，但不能回答。意识障碍短暂而频发为其特点。3、精神运动性复发：在意识障碍的背景上，常有错觉、幻觉及自动症等。因多由颞叶病变引起，故又称颞叶癫痫。发病年龄在各型癫痫中较晚，多在20岁左右首次发病。约有40％的病人发病时有先兆，感到胃部不适、幻听、幻味、眩晕、恶心、恐惧等。温馨提示应避免劳累,保证充足的睡眠,成人至少保证每天睡眠7~9小时,儿童至少8~16小时.参加适量运动,如散步、慢跑、羽毛球、网球、乒乓球等，不能参加游泳、登山、跳水等运动，也尽量不骑自行车，防止复发时摔伤，或出现交通事故;少看电视，禁止玩电子游戏。","
你好，孩子出现这种情况要考虑是惊厥的可能。建议你带孩子到医院做个脑电图检查以排除癫痫的可能性。如果确诊为癫痫的话，要及时治疗，目前癫痫的治疗方法很多，但药物治疗仍是主要方法。药物治疗虽不能根治癫痫，但可以控制病情，使病人正常生活、工作和社会活动。抗癫痫药物的使用原则：1、单药治疗：尽可能用一种药物获得满意效果，单药治疗无效时再加用第二种药物。2、从小剂量开始：从小剂量开始逐渐增加至能控制发作而又不产生毒性反应的最大维持量。",0.809307336807251
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello and welcome to ask a doctor service.  I read your query and here is my answer. Is it associated with fever? At what times the cough is more? If you have fever or flu like symptoms and your chest is clear on auscultation or x-ray chest, then it is most likely bronchitis for which you will need to take antibiotics.  But if there is only cough which occurs at nighttime in bed, then it is most likely due to HERD, for which you will need to raise bed end, keep a gap of at least 2 hours between meal and going to bed and may need medication. Hope I answered your query.  Feel free to ask more if you have any doubt. Thanks.","
Hi! I am Chat Doctor answering your query. If I were your physician, I would advise you to consult an ophthalmologist for a detailed evaluation and treatment of your condition. You need not worry much as the vision is not getting affected in this condition. The only thing you have to be careful about is to avoid rubbing the eye. This can cause corneal damage. I hope this information would help you in discussing with your family physician/treating doctor in further management of your problem. Please do not hesitate to ask in case of any further doubts. Thanks for choosing Chat Doctor to clear doubts on your health problems. Wishing you",0.7892909646034241
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thank you for your contact to Chat Doctor. I understand your health concern, if I am your doctor I suggest you that such conditions are very chronic conditions. It requires a continuous follow-up with report so being in touch with me helps you. You can take low dose prednisolone, it will improve the condition immediately, but you can send me a report and treatment taken to help you out more. Ask me as a specialist question in Chat Doctor website. I am Chat Doctor, Infectious diseases specialist. Kindly come up with the problem of yours. I will be happy to answer all your future concern. Thank you, ChatDoctorInfectious disease specialist. Wish you the best health at Chat Doctor.","
Hi... I understand your concern. And thanks for sharing the history of your daughter. In my opinion it could be an allergic reaction to the food she is eating. You can get her blood tested for allergy and also consult with an allergist in this regard. If she has allergy then she should avoid the same. Otherwise, she will need antihistamines like cetirizine or levocetirizine. Hope my answer was helpful for you.  I am happy to help any time. Further clarifications and consultations on Chat Doctor are welcome. If you do not have any clarifications, you can close the discussion and",0.7682896852493286
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi jessicagregg, It seems you have had very different results on the HIDE scan test, but you have to understand that this test is not a perfect test, and results may vary. To do surgery just based on these results, you would need to have a function (or ejection fraction) of the gallbladder below 35% AFTER the injection of cholecystokinin. The most important factor to consider before getting surgery is your symptoms. If you have typical gallbladder symptoms such as right upper qua Chat Doctor. ","
Hi, dairy have gone through your question. I can understand your concern. You may have cancer or other benign lesion in lung.  You should go for CT scan of chest to rule out any abnormality. If it is cancer then you should go for biopsy of mass and further treatment depend on stage of cancer.  If it is benign lesion then it will not cause problem. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.",0.6527234315872192
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, There is no need to hurry. Wait for one more day to see if body is responding to medication. Also, you need to take rest. Try taking hot packs on the painful areas with each setting for up to 10 min even after doing this pain doesn't go away then you need to go and visit ER and explain to him that last 3 days. I don't have any difference in my pain and would like to be checked up again for any fracture or other injury. Hope you find this helpful. Let me know if I can assist you further. Jenis Bhagavan","
Hi, Welcome to Chat Doctor. I have gone through your query and here is my advice. 1. You need not worry about this as it may be due to stress or anxiety. 2. If you feel any symptoms like chest pain or shortness of breath then visit a nearby hospital for an ECG and echocardiography. 3. If there is no organic cause then you can take a trial of of anti-anxiety medications. Hope this helps. Wishing you good health. Take care. Regards, Chat Doctor. ",0.7729870676994324
"过敏咳嗽喉咙有痰要如何解决，发烧咳,喉咙有痰,病发时间:晚上明显化验仔细检查结果:曾经的治疗情况和效果：母亲有慢性咽喉炎也是对消炎药（头胞,阿木西林,再林）过敏,女儿也对这些消炎药过敏,每次发烧咳都很麻烦,这次发烧有一周多了给她吃了消炎药,脸色明显不好看,人无力,近来天发烧好了可是喉咙有痰,现不知该怎么办,今后类似于情况不知如何解决。","（一）行对症治疗,通畅大便,多饮水,大便很干的话可以用中成药万应胶囊,一般干的话可以用一清胶囊。（二）如果有发烫可运用抗生素（红霉素类-这个胃肠道反映大,建议用清开灵泡腾片--中成药副作用小且疗效好）,和抗病毒药（如吗啉双胍,金刚胺,病毒灵等）。（三）局部堪用1：5000呋喃西林液或复方硼砂液洗脸,杜来芬,洗必太,薄荷片或含碘片含化,或糜蛋白酶加激素和喜炎平等雾化吸进。（四）中医中药治疗：恶寒重,发烫轻,无汗,脉浮者堪用麻黄汤内服。","
您好!从你的叙述来看,你女儿的情况应该是气管炎,可以吃点小儿氨酚黄那敏颗粒,利巴韦林颗粒,头孢克肟颗粒等药物治疗。多喝水,留意歇息,不要吃辛辣刺激性食物。以上是对“过敏咳嗽喉咙有痰怎么办”这个问题的建议，期望对您有帮助，祝您健康！",0.5194613933563232
不孕不育自己在家怎么检查，网上说的21步检查，不孕不育自己在家怎么检查，网上说的21步检查法可以吗？您好医生，我想咨询一下不孕不育自己在家怎么检查，网上说的21步检查法可以吗？,你好，21步排查法是指男性睾丸、精液、输精管、尿道、附睾、前列腺、射精功能障碍、性功能障碍、性激素、免疫因素；女性卵巢、子宫、输卵管、宫颈口、阴道、排卵障碍、盆腔、性激素、内分泌、免疫因素、全身性因素。主要是21步排查法具有很全面细致的检查，无论是女性还是男性都要经过数十道检查来确定自身的病情原因，这也是治疗之前最为关键的步骤。,"
你好！不孕不育症的仔细检查方法有以下几种：1、妇科常规仔细检查；2、内分泌激素六项；3、输卵管通畅实验；4、子宫内膜活检；5、免疫学检查；6、染色体仔细检查。建议你到正规医院实施仔细检查，对症治疗。祝您早日康复！以上是对“不孕不育自己在家怎么检查”这个问题的建议，期望对您有帮助，祝您健康！",0.648317813873291
胆道狭窄的影像学检查有些什么？,超声；增强胆道成像；胆管腔内超声；核磁共振胆胰管成像；内镜逆行胰胆管造影；超声检查；X线摄片；CT检查；胆道造影；皮肝穿刺胆管造影；磁共振胆胰管造影；斜冠位T2WI；腹部超声检查；磁共振增强CT检查；T管胆道造影术；彩色多普勒超声成像；CT平扫；X线摄影；胆道水成像；磁共振胆胰管造影联合增强CT检查；肝门部胆管声像图；MRI检查；肝功能；增强CT检查；胆道造影术；增强 CT；水成像；超声检测；磁共振胆胰管造影联合增强CT,"
ERCP；B超检查；内镜逆行胰胆管造影；MRCP检查；内镜逆行性胰胆管造影；磁共振胰胆管成像；胆道造影；CT扫描；B超；超声检查；胆道造影术；X线胆道造影；磁共振胰胆管水成像；MRCP；胆道造影检查；胆道造影术联合超声检查；B超和CT检查；胆道造影检查法；ERCP诊断；腹部超声；胆道造影；磁共振胰胆管成像技术",0.8664858341217041
"If you are a doctor, please answer the medical questions based on the patient's description.","Dear kcpocknellwelcome to Chat Doctor.Please do a UPT (urine pregnancy test) which u can do it at home by ourself. If It's positive, then the spotting (brown discharge) which your getting is because of the implantation of the placenta in the uterus, which means there's further development of the fetus is happening in the womb. This has to be good news for you:-)If pregnancy is negative, the tablets do have these side effects because of the hormones in them. Kindly do not panic. Thank you:-)","
Hello, I have gone through your query. Thanks for using Chat Doctor. Your symptoms suggest possibility of chronic bronchitis or emphysema. You should consult pulmonologist and get done clinical examination of respiratory system, PFT (pulmonary function test) to confirm diagnosis. If you are diagnosed as having chronic bronchitis, then inhaled bronchodilators and inhaled corticosteroid will be required. In case of emphysema, you may require surgery like lobectomy. Wish you good health. ",0.6914990544319153
做肿瘤筛查去哪个科,在现实生活中，癌症检测一般可以通过五种检查方式进行，血液检查就是其中之一。通常，五次肿瘤检查可以初步确定肿瘤的性质是良性还是恶性。具体诊断需要进一步的病理检查，这对预防和检测癌症至关重要。那么，我们应该去哪个部门进行癌症筛查？肿瘤筛查挂哪个科室这个要根据具体情况而定，身体哪里不舒服就去哪科室，现在血常规属于各科室常规检查。检查需要向医生详细诉说你主要担心哪方面的疾病，好侧重检查。在临床上，癌症的性质可以根据五次癌症检查的结果来判断。因此，患者的朋友有必要到医院的肿瘤科进行验血。只有这样才能诊断出癌症的性质和症状，才能及时采取有针对性的治疗措施。根据癌症检查的数据，患者的朋友也可以。可以通过手术或中药治疗。我们都知道验血是一种比较常见的癌症检测项目。五项癌症测试通常是指检测患者朋友的五种肿瘤标志物。通过测试结果，我们可以确定我们是否患有癌症。如果检测到癌症肿瘤，他们需要去医院进行适当的治疗。在检查过程中，有时单指标检测结果不能表明患者必须有肿瘤，还需要做其他检查项目。肿瘤标志物检查作为肿瘤的常规检查方法，对于确定癌症肿瘤非常重要，但对于肿瘤的诊断并不是绝对的。除了需要癌症标志物外，还需要对一些癌症患者进行检查。有时需要进行一些动态检查以避免误诊。癌症筛查还可以有效地预防癌症的发生。如果标记异常，则可能表明存在肿瘤，应通过CT和B超检查进一步诊断。通常使用五次肿瘤检查来检查癌症。通常，五项检查可以确定肿瘤的性质是良性还是恶性。根据检查结果，我们可以及时采取有效的治疗方案。肿瘤患者一般可以用中药调节，这样可以提高自身免疫力，防止癌症的发生。,"
一般建议您先到医院的外科就诊，医生会根据您的具体症状进行初步诊断。如果需要进一步检查，医生会推荐您去相关科室。例如，如果您怀疑是乳腺癌，可能需要到乳腺外科或者肿瘤科；如果是肺癌，则需要到胸外科或呼吸内科等。

肿瘤筛查一般是指通过一些医学检测手段，如血液检查、影像学检查（如CT、MRI）等，来发现身体内可能存在但尚未引起明显症状的癌症或其他严重疾病的早期病变。这些筛查通常由全科医生或专门从事预防性医疗工作的医生来进行，他们可以提供关于哪些类型的",0.8431166410446167
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for writing to us. Moxikind 625 is quite safe (pregnancy category B) while you are trying to conceive and during pregnancy also. It has no harmful effect on growing fetus. Therefore, you wouldn't be worried mucChatDoctormon side effects include: Diarrhea, nausea, vomiting, indigestion, stomach inflammation, skin rash, dizziness etc. Do periodic checkup to your doctor and get recover soon. Good luck.","
Hello and welcome to Chat Doctor.  Thank you for asking your question. I understand your concern. Your blood tests suggest that you have high cholesterol levels. High cholesterol is one of the risk factors for heart disease. You should start taking cholesterol lowering medication such as statins. It will also help if you stop smoking and do regular exercise. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care.  Chat Doctor.  R. Bhalodia MD Internal Medicine & Subspecial",0.6029095649719238
玻璃体液化的治愈率是多少？,0%,"
90%以上；95%以上",0.45148539543151855
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, dairy have gone through your question. I can understand your concern. You may have epidermal cyst, enlarged lymph node or salivary gland enlargement due to siledenitis or other cause.  You should go for fine needle aspiration cytology or biopsy of that lump. It will give you exact diagnosis. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.","
Hi, Welcome to Chat Doctor .com I am Chat Doctor. Michael. I have read your query in detail and understand your concerns.  Your son is not having any symptoms of cold or cough and also no fever. So he is not suffering from any infection at all. The only thing he has is a small area of skin lesion on his back which may be due to a mosquito bite. If there is no pain or itching then it is not a cause for worry. Hope this answers your question. If you have additional questions or follow-up questions then please do not hesitate in writing to us. I will be happy to answer your questions",0.769607424736023
霉菌性阴道炎性生活吗？，我现在得了霉菌性阴道炎，现在在治疗期间，请问下在治疗期间我能和我老公做性生活吗？？？？？？？？？？,本病也可以经过性接触传染，男性表现为霉菌性龟头炎，女性念珠菌性阴道炎又称霉菌性阴道炎，是常见的妇科疾病。您可以用您女朋友的外洗药物洗生殖器部位。祝您健康！,"
你好！在治疗期间最好暂时不要同房。建议你去医院做个白带常规检查,根据仔细检查结果,采用合适的药物实施救治,平时留意始终保持外阴清洁卫生,内裤要勤换洗衣物,并且要在太阳下曝晒。祝您早日康复!对于阴道炎严重患者来说，建议尽快就诊，根据医生的意见来尽快救治，不要盲目误信广告药物来救治，以免令得病情严重。",0.7863285541534424
多发性硬化症有什么治疗方法，我的爷爷，最近不舒服，仔细检查多发性硬化症，妈妈打电话问我多发性硬化症治疗方法，我也不知晓，您好多发性硬化症治疗方法？,"多发性硬化症要确保适当卧床歇息,防止过度疲劳,增加传染,努力争取最大限度的恢复从最初或继续恶化的疾病,动用可能会康复措施(如拉带、轮椅、滑索、电梯,等)尽可能延后疾病的卧床休息时间,细心护理,动用压力床垫,硅胶床垫和其他特殊仪器,以防褥疮在卧床歇息。","
多发性硬化症是一种自身免疫性疾病。目前没根治办法。治疗以稳定症状和预防工作病发为基础。建议使用糖皮质激素或免疫抑制剂救治，可以减低病情。平时要留意歇息，防止过度操劳，增强营养，增加抵抗力。多吃新鲜蔬菜和水果。多活动，降低免疫力。不要吃辛辣刺激性的食物。不要喝啤酒。以上是对“多发性硬化症有什么治疗方法”这个问题的建议，期望对您有协助，祝您健康！",0.6562036275863647
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, dairy have gone through your question. I can understand your concern.  The has history of stomach cancer.  However, she might have some infection.  Her platelet count may be low, and it leads to red spots.  She should go for complete blood count with platelet count.  It will give you exact diagnosis. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health.","
Hi, I am sorry to hear about your son. It sounds like he is having some problems with his teeth and gums. The most common cause of loose tooth in children is tooth decay (cavities). This can be treated by filling the cavity and giving him fluoride treatment. Another possibility is gum infection which may require antibiotics. However, the best way to find out what is going on is for your child to visit an oral surgeon who will examine his mouth and do x-rays if necessary. Hope this helps.  Chat Doctor. ",0.6514179110527039
